"RL1-A","YL2-A"
9159,1421
6108,1288
10704,3381
10511,1080
249,21442
8899,1237
8684,831
18821,6632
5618,1636
10283,1652
7649,949
17485,2416
5671,2069
26784,2152
14390,5984
8687,743
7672,1086
36374,5595
8233,931
7196,1036
8974,1158
14569,6100
27779,4962
15654,3844
11487,1097
3589,569
17683,1246
15753,2111
9757,1650
32218,4376
16758,2243
33599,10913
16407,5314
14771,3595
19867,8345
15412,3577
15093,4148
8168,1327
15102,1942
44964,14215
7800,1009
56606,16275
23786,2998
15993,2559
12799,3371
23202,4190
7180,899
6570,1192
8402,392
8027,614
4568,552
13190,1684
27507,5003
9973,669
22540,3029
25898,5117
7964,1691
12459,1824
21000,3439
2435,406
9466,3111
5201,434
6435,540
3930,648
7706,1410
50792,18382
4063,477
13606,2721
14295,1233
14308,1397
12340,2876
22925,5486
3710,564
12411,1684
14382,1903
55526,3667
5574,961
16769,1990
11546,2119
19451,2589
19300,4976
9232,937
5177,3288
5181,619
6140,610
13063,1238
48235,8286
10731,2133
19928,662
23878,9117
31184,3819
19672,4244
22973,3440
68957,24838
23230,4907
23708,3565
25079,3002
10245,1091
7879,557
8983,687
8312,2026
46516,8113
359,10054
20460,3562
14684,5260
18166,2115
9890,2620
18061,4403
26335,1100
48331,19756
13444,2879
7821,691
31885,3717
7812,784
4752,560
31351,12906
4525,395
11434,698
9027,836
7142,2009
14654,1270
47189,6062
20462,6268
10621,1143
18619,909
20538,3756
7368,786
33898,6777
16622,1384
12743,779
7693,1102
11453,2822
25910,5876
28051,4509
15841,3169
33676,12361
12103,804
19465,4401
11510,844
53008,6553
18362,7274
4276,395
6439,941
17780,1563
10088,1115
18384,1651
30693,4493
13237,1597
75139,6244
36030,10032
3809,610
41450,3466
18804,3079
16487,1836
15351,2764
5410,1046
14680,4740
5649,1512
11550,2020
17056,2236
28996,7320
11738,823
12375,3213
6270,980
11503,680
20304,5092
4955,846
9616,1449
8279,1408
22768,5104
15573,3013
8941,1981
46734,10777
32905,9457
5613,1580
2092,411
17021,4797
4805,705
19416,2017
4382,593
13693,1129
12167,617
35088,8209
27311,4669
19156,3295
23569,4880
25293,3489
26525,5687
17606,2179
20873,4000
7029,772
709,1527
6965,1144
12390,775
28440,10578
8132,2537
9126,556
11932,2004
1947,533
4852,902
8784,722
10637,3554
9432,570
5682,481
3430,701
5443,657
7983,986
29054,7454
14199,1566
5215,1301
3853,412
8800,1802
5809,918
15564,1369
33206,3412
33732,5728
18224,1019
28463,9272
19819,3588
13901,1026
27882,5725
43395,29565
19506,625
8617,848
16176,9310
13170,3308
8883,497
30529,3635
10623,940
59045,8240
15890,982
30134,5312
32256,4749
23287,12940
5343,731
5551,1253
7698,386
35186,12372
21049,2230
14296,5306
22293,2250
9827,1302
7229,1285
18620,4997
11661,1716
7611,1223
5285,382
7479,1039
23094,1598
15671,1880
17948,3664
10807,3575
3629,516
5534,397
4780,1340
2068,442
17722,2720
7076,481
21526,7027
31797,4401
4252,654
3293,2176
9431,1264
19384,1390
17478,4255
7721,1205
5099,898
25755,6635
18245,6424
8886,1232
10380,4537
28714,5226
31943,2411
12273,1945
10581,1838
7974,1318
7004,530
22942,2244
3677,357
14899,2971
17368,1178
28044,3683
9532,3853
18624,1386
13373,1657
20552,1476
7212,2175
7824,693
40733,12006
27905,2912
14887,1941
8382,1485
12130,1375
50021,13894
15335,3631
1902,376
8956,1103
14442,1817
7305,1605
23251,3580
15233,2788
5446,579
29829,5988
30143,4725
13881,1871
9083,824
9405,7242
227,6551
21547,4364
12209,3266
12528,1883
2921,582
14182,775
8383,1106
11280,433
13713,692
9231,1888
31930,6014
24160,5637
15851,2398
55222,5528
10729,2251
12209,1268
12281,3252
1093,534
25427,7336
4525,454
6179,725
12080,1923
8850,3480
4037,641
4780,559
4498,591
32980,12939
28088,8084
5617,681
9407,1400
16663,2617
5819,1090
32691,4543
4285,524
15336,1402
62681,18792
9671,2088
11102,934
18847,845
10453,1485
6258,841
7479,1017
14362,2842
24120,8448
23903,2756
19980,1150
15132,1919
1980,458
21154,4599
48149,11130
12227,1919
28128,2307
28815,1495
8393,1804
8581,1162
4233,390
9076,463
29609,1426
3584,781
25389,7605
8261,2183
36117,6708
37324,9919
17878,2094
39893,8565
25807,12138
40453,9902
6812,1188
22027,2282
7968,1367
21667,490
23438,350
16828,2169
11014,590
17090,7893
3297,376
16335,3241
