"RL1-A","YL2-A"
162,1690
968,3428
822,4928
528,644
867,1905
1343,3570
1728,4746
1490,4372
527,1780
522,572
1551,8247
3125,9413
567,2338
154,1431
295,572
683,2495
582,1656
1104,2228
398,954
18,566
459,848
1955,2688
742,2018
117,419
693,2097
1044,2255
368,793
1388,6664
300,610
485,1411
153,1058
398,1107
990,3090
1696,4555
212,2200
616,1160
1105,6220
461,1178
1032,3704
110,390
1599,3779
779,3358
251,586
329,1074
184,687
261,1568
816,1353
12,364
562,1306
543,766
1894,3283
1344,3051
2049,5883
491,1158
348,1226
1516,8211
2012,9182
67,421
385,1838
1376,5902
1721,8518
351,991
689,1757
587,505
385,2979
1193,2748
363,1254
304,2259
1648,14371
340,953
265,1512
367,511
769,3523
608,1398
1284,7220
592,638
238,1070
164,609
318,737
1455,5273
613,12935
492,3364
240,359
2133,3066
581,3649
446,915
292,828
608,1245
949,5345
431,952
830,3672
1261,4239
546,412
1441,7325
812,1093
277,779
331,740
2562,9822
1474,3984
1362,3079
819,4077
255,2361
1851,7958
136,419
73,644
1052,3701
1947,10756
336,1056
590,918
522,772
459,1052
295,925
777,1805
231,552
357,760
1951,11412
806,1792
732,2409
305,1316
74,560
273,459
271,941
264,377
992,1634
502,1081
408,428
574,4291
712,2253
393,492
1362,2012
1620,7650
1345,3793
729,2269
349,1085
1366,12650
809,6735
796,1896
856,827
619,5294
629,3058
351,423
1713,2041
1733,1789
469,905
841,3414
1093,4571
202,862
2822,25920
1437,5533
2397,13118
481,2551
1051,4266
876,3803
782,4422
1078,8792
409,584
625,1397
273,614
291,632
1203,2345
375,904
626,6655
1717,4999
368,1205
705,2140
409,1995
303,1374
359,1964
1674,6145
1363,2859
300,406
355,1081
695,1483
144,386
448,355
165,433
367,524
573,1765
1655,4751
1389,3719
253,7817
1775,9875
589,3006
106,656
312,596
578,934
691,2416
880,2878
1087,2678
815,4240
1680,5659
305,708
459,838
2862,11797
709,999
1119,1550
630,2043
411,1989
1288,3894
1160,2366
278,772
805,1329
742,2088
651,1751
624,589
517,1521
468,1239
346,1050
376,524
613,2351
271,1307
1917,5828
305,446
483,1575
106,491
392,1839
483,1326
3241,14571
323,547
303,536
1011,8815
376,1313
160,704
1525,10669
1181,5915
310,1265
1788,4028
2477,15085
1227,2695
220,687
345,1979
740,1275
225,1066
2100,5366
1166,3571
603,2842
432,2016
1292,4618
826,2386
793,7039
1257,2595
188,614
1703,6618
521,1203
882,1785
2049,6291
394,1336
492,6183
1556,6692
1524,11292
1998,8924
1291,4100
430,1329
589,2759
1452,3740
298,1023
652,2258
904,3504
414,1922
571,2327
433,1009
3000,15018
321,651
753,2051
1660,3547
974,8746
195,666
560,2708
1590,7487
574,1491
253,424
723,3492
912,513
106,439
557,2341
1020,4181
438,849
1005,3610
170,1009
332,483
833,1947
348,1529
1822,5332
439,491
137,1252
363,685
357,1166
1657,10549
1504,2894
83,7734
280,558
1246,7662
578,2297
506,2551
51,506
1202,3800
917,1456
3059,11275
479,825
542,636
386,876
1409,2106
2719,9200
153,816
917,776
413,1161
420,1071
971,4178
1336,5814
