"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
456811,255953,120,215213,129455,112,41,85,0,11489,7471,46,10152,6725,44,173,147,0,-116,285,0,0
392974,225967,118,247588,145880,114,-51,35,0,24706,19262,88,22345,17792,63,242,178,0,11,296,0,0.00111421
367867,228444,113,134488,90752,102,61,60,0,9254,8230,38,8187,7071,37,28,120,0,-183,15,0,0.00334262
137004,114729,90,144196,85690,90,66,82,0,8663,12439,35,7510,11098,33,-45,51,0,-305,0,0,0.0100279
203815,139437,97,221711,163965,100,22,101,0,19262,21553,79,18113,20136,64,-115,83,0,-139,27,0,0.0100279
285385,216984,103,101495,75108,94,-13,54,0,19117,20660,57,17115,18438,49,20,57,0,-14,45,0,0.0122563
392179,233294,116,150416,101107,108,-57,56,0,15531,10716,53,13691,9259,51,158,83,0,1061,4940,10,0.0133705
384514,194213,123,229418,108013,115,45,65,0,36837,20560,114,33071,18162,100,29,89,0,2729,11658,15,0.0178273
417107,198339,133,596187,273868,133,358,127,0,2266,915,0,2087,924,0,16,47,0,-586,578,0,0.0189415
441511,259656,118,136066,85751,110,58,76,0,2907,1978,35,2491,1696,29,28,61,0,22,854,0,0.0200557
402473,211461,120,342211,209871,116,96,102,0,69770,43093,120,61814,38032,120,191,143,0,6371,22302,20,0.0200557
402671,240471,108,198801,129565,104,-7,75,0,42110,29195,115,38303,26483,103,243,175,0,847,9268,12,0.0200557
172613,108843,99,145176,96975,96,155,103,0,5302,5082,30,5051,4684,30,36,100,0,10,1792,4,0.0233983
432494,247478,121,233033,132511,121,66,60,0,9940,6296,48,9012,5896,45,90,85,0,1042,4274,10,0.0267409
476093,248145,125,665938,347374,125,74,67,0,72016,42988,125,64664,37823,125,384,299,0,2438,8970,15,0.0289694
471318,283894,119,191935,119603,110,89,63,0,10514,7246,43,9332,6740,41,59,86,0,-86,109,0,0.0300836
407328,281909,106,128074,89464,101,146,113,0,17284,15553,58,15737,14379,54,93,103,0,-178,123,0,0.0300836
230638,127213,109,184818,100626,112,-17,47,0,307,183,0,324,313,0,-15,38,0,128,520,0,0.0311978
355933,240624,103,87702,65165,94,-16,77,0,10756,9663,39,10176,9595,37,89,104,0,-700,0,0,0.032312
170598,145065,93,83595,64789,89,141,100,0,13334,18590,43,12210,17474,38,-20,28,0,-35,41,0,0.0389972
254603,139063,113,195547,116982,106,-2,25,0,9281,8215,40,8427,7933,38,34,84,0,211,1432,2,0.0412256
478760,190655,146,513394,217298,144,397,135,0,38124,13840,136,34445,12210,125,278,163,0,2794,6297,19,0.0423398
165776,95493,99,111997,72896,95,47,51,0,-75,304,0,-127,245,0,98,70,0,-140,2561,7,0.043454
