"FSC-A","RL1-A","YL2-A"
477046,28696,19622
673502,55579,34668
489320,34278,21329
526583,12993,5391
516329,18332,7178
661311,75792,35008
458354,16067,6955
488397,31527,19371
553356,20425,9901
463201,2080,4886
557781,36238,10156
544986,66791,37209
440374,45096,30537
452707,32694,19724
569573,53043,17917
703322,18317,8979
614907,13943,3416
514953,71431,28195
499989,25411,11030
590461,13827,6871
547685,20481,11544
567217,69331,10557
501451,34454,18330
524398,21977,18835
635910,64765,27439
589278,38475,27296
472112,10812,7779
681678,47691,33669
555369,555,6518
693191,74711,21503
621947,25090,10184
560534,46407,65439
471383,20293,15188
580311,43248,15356
589656,38109,16854
548867,22914,18479
462444,30774,17653
618471,44472,18247
464989,29941,13727
542654,29676,11093
498092,54771,20436
700339,29401,22138
502855,44966,19736
525072,16196,10095
464738,38780,20772
422408,33522,50080
459228,15347,12841
588919,55982,17173
596556,84048,21115
475820,38362,27298
644551,52723,25247
629691,46536,20211
484274,21836,16424
630392,75906,34576
505746,24939,11794
313266,40639,58
508947,43608,21392
428201,20615,5062
772251,107026,40990
481759,24038,11724
671959,71864,34625
425552,13463,9903
339202,1579,9966
482818,46697,22064
329250,21672,10411
491687,33068,15142
604857,47015,27249
503879,39796,19826
523335,44381,17061
517079,38636,19086
511180,5524,103
464744,25513,10356
480032,31985,13191
550434,23479,11535
606556,58416,23986
570198,42028,25644
483834,38256,16397
558749,52866,21538
573863,83489,29737
655904,91191,27769
484402,35742,13736
571904,53643,25014
535553,12863,5162
536714,42516,24856
629816,32534,11709
416070,14506,8411
519121,12031,8149
234425,1249,464
557169,84140,36357
715960,61177,19672
303062,3258,40
527640,25863,13480
499861,46941,32798
460648,10900,7714
402239,26947,17093
643362,27556,11706
556894,56223,19938
739194,102723,44342
606408,22742,8946
436801,2726,484
545122,19509,7202
505720,26724,8645
464609,37564,18435
611340,44028,19722
608113,64568,27881
709777,159438,87355
565869,28629,13470
465279,15874,10136
532172,25378,16828
661481,68616,33308
537954,45117,26516
286391,23020,239
551800,39984,27752
544248,27135,14735
419100,18134,12120
442437,47317,25437
560081,50901,22377
632376,56520,20168
483641,47491,19099
526751,53334,23317
452231,38619,20608
622925,67402,30476
609059,8076,1047
669829,41721,17764
510389,26154,22370
521906,32405,17246
451280,30256,25389
469558,12041,8922
571975,46815,22162
504979,39004,16681
667760,79868,34742
658615,41894,24181
522700,1626,143
435786,39716,26281
371998,21440,13638
271061,4599,801
445989,13334,8293
650143,113528,68352
562355,30294,12113
478064,12943,16972
544595,42307,17363
503060,32666,17708
529777,42542,20250
588933,41168,16175
542675,96644,27168
449581,27718,17210
546418,41707,20870
529318,70471,21687
617836,55021,22101
548524,30047,13664
367222,24863,21135
561353,38789,15841
430536,32005,9818
399836,9816,11115
403526,22450,12678
476605,28601,14757
492139,18164,6104
436220,265,8547
366668,43206,140
508060,33804,22099
501527,39986,20843
588201,52159,39234
552832,50399,28161
568419,41932,17053
508978,27927,11959
682662,50050,26174
634997,25625,12689
511520,43453,17162
557759,13032,4313
675514,123013,25616
491924,26861,13655
414212,26841,14738
523759,43075,16470
412481,3545,2674
586890,36551,12674
578233,27285,16049
553126,27145,13884
523453,33759,16213
402435,5199,2347
546934,39922,22865
493492,32489,14043
614358,69106,24139
508497,59079,21789
510518,17030,9903
462751,6783,1096
657864,18538,8781
502972,44465,16333
476068,54182,29290
489926,52207,16801
630318,11206,1942
670441,47079,22788
513486,31415,25734
412364,44101,16546
515257,32344,18260
546880,42142,27746
461597,726,193
484536,29353,12474
503829,47869,32704
542529,28197,15578
481308,22954,14711
486340,1859,4006
527821,23360,14005
480238,20498,6231
573024,31137,23409
436610,3288,2416
527367,32367,15251
654360,56760,19891
451240,8396,4717
482338,42164,18322
506040,32390,16352
551856,79710,26140
620004,61846,37503
460641,8211,3375
504643,6879,4964
582333,28223,20750
505548,36329,16824
561062,58540,16215
482511,26636,29727
622221,16853,13034
362969,3603,6483
603131,21978,26615
512330,74209,39473
524388,25014,9492
462078,16254,18581
594689,14933,3623
718524,61741,13669
517636,25180,19076
481209,25452,10788
602337,54907,19598
473698,41504,24031
240515,13121,417
508156,28513,18694
466648,38510,24950
523279,48034,29951
441893,15408,9438
635461,25592,12671
581145,19044,9349
534953,36893,13713
572130,69922,29076
