index,template
I0001,94035
I0002,61056
I0003,128959
I0004,152760
I0005,7511
I0006,4654
I0007,71341
I0008,166262
I0009,257115
I0010,237560
I0011,18178
I0012,19531
I0013,171697
I0014,159562
I0015,135262
I0016,223336
I0017,8190
I0018,9967
I0019,411
I0020,37923
I0021,130102
I0022,273174
I0023,128722
I0024,86158
I0025,396441
I0026,413657
I0027,310808
I0028,281757
I0029,341092
I0030,252057
I0031,73593
I0032,129927
I0033,77666
I0034,205292
I0035,228794
I0036,116490
I0037,270692
I0038,197491
I0039,205851
I0040,145410
I0041,108717
I0042,244968
I0043,175844
I0044,146265
I0045,308442
I0046,206912
I0047,182611
I0048,193424
I0049,384181
I0050,20203
I0051,21202
I0052,467115
I0053,60097
I0054,393170
I0055,319592
I0056,62723
I0057,11670
I0058,173193
I0059,235097
I0060,81841
I0061,102704
I0062,260798
I0063,207832
I0064,31043
I0065,16423
I0066,52478
I0067,63710
I0068,174721
I0069,118835
I0070,231611
I0071,145021
I0072,211534
I0073,215634
I0074,177614
I0075,124937
I0076,60595
I0077,25311
I0078,33147
I0079,16258
I0080,282550
I0081,362740
I0082,164596
I0083,152316
I0084,223475
I0085,178514
I0086,37690
I0087,63389
